"НАЗВАНИЕ","ОТЗЫВ","ОЦЕНКА"
"Выжившие","Очень крепкая и достойная жанровая вещь, которая осталась в стороне от зрительского внимания и ограничилась всего двумя сезонами. Очень жаль! Лично я получила удовольствие, чего желаю всем любителям подобного сюжета.

Сказать, что безумно актуально, ничего не сказать, от первой серии у меня мурашки бежали по сердцу, то и дело срывалась и шла писать своим людям «береги себя». Это такой ужасающий визуальный ответ всем тем, кто до сих пор «не верит» в эпидемию. Вопрос только в масштабах.

Впечатление от проекта чётко падает на две половинки, плохую и хорошую, и как ни странно и непривычно, хорошего больше. Это именно то, что заставляет взахлёб смотреть: отличный сценарий и микросюжет у каждой серии, диалоги, характеры и вся та техническая основа, которую не сотворишь экспромтом, а надо тщательно продумывать. Мне искренне жаль, что я не узнаю, что дальше, какие ещё задумки у сценаристов были, потому что помимо прочего это ещё и энциклопедия сюжетов на тему посткатастрофы, здесь мы плотно дружим с «ходячими», но если там на каждый детальный сюжет уходит полсезона-сезон, то тут наброски в одну серию.

Зато какое многообразие! Отличный сеттинг для того, чтобы выпукло показать, как разные люди представляют себе жизнь и каков должен быть порядок вещей. Что есть реальность, а где она разбивается о чью-то другую реальность, как пытаться друг друга понять среди этого всего.. Мы видим, что постапокалипсис - это в первую очередь хаос смыслов. Что осталось у потерявших все людей? Во что они ещё верят? Что такое семья, дружба, любовь, потеря, смерть, ребёнок и взрослый? Что значит быть собой? Жизнь это дар или проклятье? Все приходится начинать сначала, определять заново.

Эта глубина и сложность может кому-то не зайти, но это суть, это главное и самое ценное, а не погони, перестрелки (или показательное убийство парочки зомби для галочки).

Про плохое, в основном это кастинг и бюджет. Ограниченное финансирование, ограниченные возможности актеров и постановщиков бросаются в глаза постоянно. Обидная ситуация, есть что играть, а не вытягивают. Не то чтобы кровь из глаз течёт, это всё-таки не российский тв-сериал, но не веришь примерно никому. Больше всего меня раздражала главная героиня, на типичную сильную роль женщины-лидера, души компании, умницы, красавицы и вдохновительницы, да ещё и избранной своего рода взяли такую потрепанную мамашу, полноватую, грудастую, которая ну тетка и тетка, ну сказала что-то, ну и что, совершенно непонятно, почему это кого-то впечатляет. Особенно смешны с ней сексуальные сцены, все эти коротенькие медицинские сорочки итд. Ничего не имею против мамаш, но не верю. Если уж делать что-то нетипичное, надо это оправдать, заставить зрителя поверить в своё видение, а так ну такое, закроем глаза и смиримся.

Как итог, хороший вариант пообщаться с умным и, несмотря на в последнее время избитый реальностью сюжет, довольно бодро идущим не скучным кино. Создатели доказали, что даже на избитую тему и без миллионов можно сделать ок.","👍"
"Мужчины",""".. Мы оставили всё позади- наши смерти, наши воспоминания, наши кладбища.. Хаос, ненависть, жестокие нападения, крики, следы, сумашедшие члены СВО, бродящие и ищущие европейцев, которые просто хотели уехать.

 Резня, братские могилы. Франко-алжирцев линчевали, они пропадали без вести. НИКТО не хотел знать НИЧЕГО!!!»

Фильм» МУЖЧИНЫ» Des hommes про французско-алжирскую войну, которая длилась целых 7 лет, о которой мало рассказывали, потому что вернувшись обратно к себе во Францию, эти парни, которые были на войне, предпочитали отмалчиваться. 

 Со времен греков у каждого поколения была своя война. Это в карме Человечества, в судьбе мужчин - вести войну, убивать или быть убитыми, уйти на фронт с риском не вернуться. 

 Этот фильм про то, какой ущерб приносит не сама война, а ее последствия на всю жизнь для ее непосредственных участников. 

Состояние мужчин во время войны, и после. Вся трагедия обыкновенных парней, которые попадают в переплеты войны. Фильм снят по роману» Мужчины»- Лоурента Мовинье (Laurent Mauvignier).

Фильм - шедевр! Там нет общепринятых сцен войны, баталий, а просто неспешное, обыденное повествование, начинающееся с дня рождения в обыкновенном французском городке в наше время  

В ролях- гениальный Жерар Депардье, Катрин Фро, Жан-Пьер Дарруссен.","👍"
"Одинокая леди","«Одинокую леди» Петера Шашди, в прошлом, постановщика фильмов ужасов, постигла участь одного из провальнейших фильмов Голливуда, который неформально носит звание «Шоугёлз 80-х», и представлен аж в 11 номинациях на «Золотую малину», одержав победу в 6 из них - худшие фильм, режиссёр, сценарий, актриса, саундтрек, и песня, и оставив нереализованными целых 4 актёрские номинации вместе с заглавной одноимённой песней. Более того, этот обладатель «Золотой малины» был даже перечислен в списке 10 лучших «худших фильмов, когда либо снятых» в кино-гиде «The Official Razzie Movie Guide» самого основателя позорной премии - Джона Уилсона, который смастерил все промо-ролики к фильму и даже не удержался включить особенно нелепые в своей комичности фрагменты в клиповую нарезку открывающих титров своей ежегодной антипремии. На премьере в Лос-Анджелесе публика, состоящая, между прочим, наполовину из независимого жюри «Золотой малины» то и дело прыскала со смеху или и вовсе хохотала в голос на многих моментах в этой откровенно неудавшейся экранизации и без того не блистающего художественными достоинствами первоисточника Харольда Роббинса, написанного за 7 лет до этого. 

Джерили Рэндалл - простая школьница из Сан-Фернандо, которая грезит стать видной сценаристкой Голливуда. На вечеринке она встречает сына известного сценариста, который приглашает её в свой дом. Они предаются веселью на вилле с компанией молодых людей, и, той же ночью, на Джерили нападает один из друзей сына и насилует её садовым шлангом (!). Акт насилия срывается внезапно приехавшим Уолтером Торнтоном - тем самым известным сценаристом, который вовремя спасает её. Спасение заканчивается более близким знакомством, и, в итоге - свадьбой. Однако, их брак вскоре рушится, когда Джерили «улучшает» оригинальный сценарий Торнтона, добавив туда реплику «Нет!», что, разумеется, не могло его не обидеть, плюс этому способствуют начавшиеся проблемы в постели. И теперь Джерили пытается доказать, что она - способный писатель и независимая женщина, прыгая из постели в постель (!!), ведь одинокой женщине в мужском шовинистском мире тяжело вообще что-либо доказать. 

Судя по общей задумке, из этого должна была получиться мотивирующая драма о сильной женщине с феминистским уклоном, которой будут восторгаться критики и продвигать на всевозможные премии без приставки «анти». Возможно, если бы не сомнительная сценарная основа вкупе с чисто номинальной режиссурой при ужасно играющих актерах, то мы могли увидеть что-то стоящее, нежели фальшиво и попросту глупо смотрящийся гимн феминизму, противоречащий сам себе, и по факту - на экране софт-порно с сюжетом, где видные мужья и даже видные жёны только и делают, что мечтают, пардон, трахнуть главную героиню, как сильно она бы ни размахивала у них перед носом своим машинописным детищем, хлопая глазками. Пиа Задора, «впечатляюще» сыгравшая главную женскую роль, в интервью позиционировала фильм, как помесь «Рокки» и «Эммануэль», однако, после провальной премьеры, ей ничего не оставалось делать, как, едва скрывая замешательство, стоять в холле и, как ни в чём не бывало, раздавать автографы желающим, предвкушая верную смерть своей актёрской карьере. Она второй год подряд удостоилась антипремии после вышедшей годом ранее провальной «Бабочки», за которую по недоразумению параллельно получила «Золотой глобус» за прорыв года. 

По уровню игры в этих двух фильмах можно с лёгкостью сказать, что актриса из Задоры, мягко скажем, неважная, да и попала она в этот бизнес, в принципе, из-за настойчивого желания богатого мужа-миллиардера Мешулама Риклиса сделать из своей жены кинозвезду, это уже отдельная история. Вот правда, лучше бы на все эти деньги он её отправил в лучшую актёрскую школу, которую только можно найти в США, и это было бы куда более разумным вложением средств, нежели покупка наград и прокатного времени. Пусть её внешняя «простушечность» местами и смотрелась довольно мило, разве можно поверить, что перед нами - одарённая сценаристка? Разумеется, все эмоциональные сцены она напрочь завалила, особенно заставив хохотать в голос сакраментальным «My script!!!» и забавнейшей сценой истерики в душевой кабине, где хотелось срочно вызвать экзорциста и санитаров. Впрочем, не отстает от неё и остальной актерский состав, где серьёзную «конкуренцию» составляет экранная мать главной героини в лице Биби Беш, также заслуженно номинированная на «Золотую малину». Единственное, что порадовало в контексте происходящей нелепицы - неожиданно правильный финал, выступающий лучом света в тёмном царстве. Полное следование книжному первоисточнику превратило бы финал кино в полноценный трэш (можете почитать на досуге, чем закончилась книга), хотя, с другой стороны, быть может именно это и было бы подходящим финальным аккордом? 

Невероятно, но факт: тот бешеный садовник-дефлоратор - не что иное, как дебютная роль Рэя Лиотта, ныне известного актёра по рейтинговым криминальным драмам.",
"Атака 50-футовой женщины","Ах, эти фантастические ужастики 50-х! Нужно больше фантасмагории, экшена и привлечения внимания. Поместить на обложку женскую версию Годзиллы - сделано; назвать ленту прямым действием - пожалуйста, реализовать задуманное - не получилось. Лента с первых минут демонстрирует фантастический феномен. Эдакие близкие контакты женской степени. У авторов картины будто времени в обрез - ввели главную интригу и бросили зрителя в хитросплетения любовного треугольника.

Перед зрителем раскрывается обычная мелодрама с любящей женой, изменником-мужем и его женским интересом. Картина ставит внутренний конфликт, скандалы и борьбу с самим собой для Нэнси Арчер, которая не смотря на богатое состояние, прослыла в округе нетрезвой и почти сумасшедшей женщиной. Неудивительно, что именно Нэнси станет камнем преткновения мужчин (даже не камнем, а горой).

Что происходит? Где обещанная рекламой атака титана? Без всякого разведкорпуса режиссёр снова и снова наступает на тропу измен, лжи и обмана. Беспечность и грубость мужа Гарри равносильны противоположной стороне чувств Нэнси. Герои всё понимают: ему нужны её деньги, ей нужен он. Но почему на это уделена «львиная доля» и без того короткого хронометража? Да, авторы показали пороки, показали антагониста в лице мужа и обиду, но на середине ленты все топчутся на месте.

Помните, были инопланетные силы? Это также не потомки Имир Фриц, это просто угода режиссёра с летающим спутником и странная аномалия, которая может пагубно сказаться на людях. Чем сильнее конфликт между мужей и женой, тем чаще и естественнее в кадре назревает громадный инопланетянин, имеющий интерес к неким людским сокровищам. Понимаю, что не дворе 1950-е, но из-за графики нельзя было понять: реально гигант перед героями или иллюзия. В общем, путаница с восприятием.

Для угоды сюжета и спасения лживого мужа фильм ставит попытки убрать жену, пусть и с помощью врачей. Поиск выгоды и спасения себя позволяют только-только узреть фантастическое превращение. Забавно, что прямо не показывают то, чего все так ждут. Реакция людей, тени, какая-либо часть тела. Не обращая внимания на графику, лента выпячивает под финал то, чего так ждал весь просмотр. До конца фильма остаётся каких-то 5 минут, а мы только встречаем 50 футов. Рейтинг и цензура - это, конечно, понятно и адекватно, но одежда тоже подверглась воздействию? Прям как Фантастическая четвёрка!

В итоге, лента совсем не о том, чего все ожидают. Даже постер женщины над автострадой служит маркетингом проекта. Это вполне обыденная мелодрама, подстегнутая ревностью и желанием обоих партнёров получить выгоду. А фантастическое превращение - это так, смежное визуальное решение. Пустовато и скоротечно!","👎"
"Где-то во времени","Попавший случайно в поле зрения фэнтезийный фильм «Где-то во времени» оказался фильмом, который по-настоящему ублажил. Просмотр фильма был сродни упоению каким-то божественным нектаром, какой-то благодати, которая сходит на зрителя. Подобное сравнение рискованно, но это, действительно, какая-то высшая ступень наслаждения.

После тысяч просмотренных уже фильмов: в основном, плоских и незапоминающихся, - уже, казалось, вряд ли что-то способно оказать настолько сногсшибательный эффект. Удовольствие до оторопи.

Во время просмотра с лица не сходила улыбка. От всего. От абсолютно нереальных визуальных решений, от того множества художественных приемов, которыми пользовался режиссер, от постановки света, от игры актеров, от выразительности и эмоциональности сцен.

Блаженством было лицезреть почти каждый кадр. Эта цветущая радость восприятия периодически нарушалась вторжением осознавания на контрасте, насколько отвратительным, безыскусным и пустым стало современное американское кино. На фоне той магии искусства, которая творится на экране, современный американский кинематограф (если не сказать, современный мировой кинематограф) выглядит лишь подобием: жалким, усохшим, измельчавшим и подвергнутым инфляции всех смыслов.

Чем больше американских фильмов восьмидесятых попадает в поле зрения, тем больше приходит уверенность в том, что те годы были золотым временем кино. Технические возможности позволяли уже создавать прекрасную цветную картинку и использовать многие технические средства для обеспечения сложных визуальных сцен, и при этом не ушла еще в прошлое значимость крупных планов и настоящей актерской игры.

Мягкая узнаваемая картинка, свойственная фильмам того времени, с заливающим кадр светом создает ощущение возвышенности и торжественности. Есть в ней что-то, опять же, религиозное, будто бы находишься в храме в солнечный день, когда лучи проникают сквозь витражи и играют на внутренних поверхностях. Что это: магия Panavision и Technicolor или, быть может, и другие технические средства позволяли снимать также?

Создатели фильма постарались каждый кадр фильма сделать красивым и значимым. Хотелось ставить его на паузу и любоваться пейзажами, панорамами, построением кадра, игрой света, композицией.

Поразительно, насколько разнообразен язык кино, если его создает профессионал. И насколько он беден, когда созданием фильмов занимаются неучи.

Одни только склейки и переходы в фильме вызывают бурю восторга. С замиранием восхищаешься решениями, которые воплощали авторы фильма на экране. Насколько умно и со смыслами использовались ими те или иные приемы.

Как умело создают они глубину кадра, подчеркивают различными выразительными средствами и деталями пространство. А в совокупности с переходами, сцены получаются взаимосвязанными и еще более глубокими и значительными. Воздействие на зрителя настолько сильное, что то и дело ощущаешь проходящую по телу волну тепла, а некоторые сцены поражают до мурашек. Фильм оказывает невероятное эмоциональное воздействие. Он настолько хорош, что его хочется разбивать на отдельные сцены и рассказывать о каждой отдельно, восхищаться тем, насколько глубоко и скрупулезно проработана каждая деталь: до мелочей.

«Где-то во времени» - это фильм о любви, что сильнее всего на свете. И без правильного подбора актеров фильм бы вряд ли получился. Центральный актерский дуэт в лице неземного Кристофера Рива и невероятно красивой Джейн Сеймур не оставляет зрителю шансов на равнодушие.

Просмотр этого фильма лишний раз убеждает, что харизматичных актеров в кадре ничто заменить не способно. Кристофер Рив обладает необычной внешностью и идеальной красотой. Его сверхправильные черты лица послужили, видимо, одной из причин, по которым ему довелось сыграть роль неземного же супермена. И без того эффектная внешность актера режиссером умело подчеркивается через постановку света и интересные углы съемок. Выразительный взгляд Рива, да и в целом его игра носят какой-то гипнотический характер.

Джейн Сеймур обладает чистой и правильной красотой - идеальна для этого фильма.

Вместе герои составляют прекрасную, органичную, но при этом абсолютно неземную пару.

Отдельного упоминания в фильме заслуживает постановка света. Осветители проделали большую работу: на экране в каждом кадре - магия.

Гранд Отель также является самостоятельным персонажем фильма. И если в начале он выглядит таким уже солидным и видавшим виды классическим отелем из прошлого, то во второй половине фильма он предстает модным и моложавым: в полном рассвете сил, на своем пике.

Декорации и интерьеры Гранд Отеля просто добивают зрителя, и без того сраженного таким количеством красоты в кадре. Интерьеры отеля оформлены в зеленые и красные тона. Красный цвет, традиционно используется там, где необходимо повысить эмоциональность сцен.

Роскошные внутренние убранства, украшенные диковинными орнаментами и вензелями. Натуральные материалы интерьеров: кресла, двери, стены, мебель. Все настоящее и вызывает восхищение. Ощущение такое, будто попал в музей.

Тоже самое можно сказать и о костюмах, использованных в фильме. Одежда также потрясает, как и все остальное. Идеально сидящие мужские костюмы и дамские костюмы со всеми этими плюмажами и трикотажными материалами с вензелями.

Отдельного упоминания заслуживают и окрестности отеля. Настолько там уютно и красиво, что хочется оказаться по ту сторону экрана и раствориться в природе.

Возвращаясь к режиссеру. Он так использует визуальные и иные технические решения, что видно, чего он хочет, и каким образом он доносит до зрителя необходимую информацию: часть ее зритель воспринимает осознанно, а часть сигналов передается композицией, музыкой и другими средствами.

Отдельно надо упомянуть про использование режиссером некоторых совершенно уникальных решений. Например, сцена с открыванием двери и смещением фокуса с актера на дверь, в которой появляется отражение девушки, гуляющей по берегу озера. Еще вспоминается сцена любви, где конечный фокус фиксируется на свече. Монтаж этой сцены поражает. Эти сцены, как и многие другие, просто восхищают и побуждают аплодировать режиссеру стоя.

Работает режиссер также и с символами и ассоциациями. Одни и те же локации используются им в разных обстоятельствах, чтобы показать разницу эмоциональных состояний героев и времени. Хотя, скорее всего, это уже заслуга сценаристов.

Для подчеркивания эффекта изменений используется сквозной персонаж - Артур. Ту же роль выполняет и сцена с фотосессией главной героини и совсем уже непосредственным намеком режиссера на смысл сцены через видеоподложку. Сцена настолько эффектная, что просто не может оставить зрителя равнодушным.

Трепетное отношение режиссера к фильму просматривается также и в его отношении к панорамированию. Камера движется в фильме нежно, медленно и ласково. Зритель будто бы попадает в объятия любящего человека.

Режиссером используется в фильме классическая музыка, которая отлично дополняет и развивает настроение и эмоциональность сцен.

Кажется, что этот фильм необходимо демонстрировать в киноакадемиях, чтобы будущие создатели фильмов понимали, к чему необходимо стремиться, и как много можно рассказать, если использовать всю полноту технических возможностей и приемов.

Этот фильм - настоящая находка, алмаз в мире кино. Великолепие на экране просто поедаешь глазами. Если бы фильмы можно было есть, с этого - можно было бы начинать каждое утро.","👍"
"Синистер","Ужасы #41

- То, что случилось  вы никогда не объясните того, что случилось. А если попытаетесь, объяснение вряд ли вам понравится.

Я уже не первый раз смотрю этот фильм. При первом просмотре он меня не зацепил, и садясь смотреть «Синистер» сейчас я надеялся, что всего лишь не допонял его с первого раза. Такое часто бывает, когда много важных деталей ускользает из-за невнимательности. Но чуда не случилось. Не понравился мне «Синистер» и при втором просмотре.

Автор детективов, который испытывает творческий кризис, переезжает с семьей в новый дом, где находит странные пленки. Решив посмотреть их он сталкивается с необъяснимыми явлениями 

Несмотря на уже значительный опыт в жанре хоррор режиссер Скотт Дерриксон в этот раз промахнулся. Начав карьеру с весьма посредственного «Восставший из ада 5», в дальнейшем он начал выдавать очень неплохие работы. До этого момента. 

Как я уже сказал, фильм мне не понравился. Слишком уж мудреный сюжет для обыкновенного скримера. Первую половину фильма я еще более-менее смог переварить, хоть она и немного бредовата, далее же начался такой абсурд, что фильм запутал меня окончательно. Но обо всем по порядку.

Во-первых - слишком долгое развитие. Начинается фильм достаточно бодренько. Зрителей знакомят с главными действующими лицами и их бытом. Далее же сюжет притормаживает. Долгое время ничего интересного не происходит, даже завязки. И лишь ближе к середине фильм начинает подавать признаки жизни. В принципе, для хоррора в этом нет ничего необычного, большинство них выстроены по такому же сюжетному шаблону. Вот только учитывая особенности «Синистера», это явно не пошло ему на пользу.

Во-вторых - чрезмерная затянутость. Эту историю можно было спокойно уложить в полуторачасовой хронометраж. Но нет, Скотт Дерриксон растянул ее на добрые два часа. По сути сюжет достаточно прост. Вот только из-за кучи разных ненужных деталей и подробностей он стал настолько затянут, что я постоянно терял нить повествования.

В-третьих - я ожидал, что раз не сюжетом возьмут, так хоть картинкой. В фильме «Шесть демонов Эмили Роуз» у Скотта Дерриксона вышло очень даже ничего испугать зрителей страшными кадрами. Естественно я ждал увидеть хоть какое-то подобие и здесь. Но увы, ничего в плане визуала «Синистер» предложить не может. Разве что скримеры, коих тут набралось не так уж и много. Хотя операторская работа действительно очень качественная. Тут не придерешься.

Единственным, наверное, плюсом является актерская игра. Итан Хоук в любом жанре смотрится органично и играет блестяще, но в этом же фильме он меня действительно удивил своей игрой. Как показаны эмоции, от откровенной апатии ко всему, до страха, и чуть ли не безумия. Остальной актерский состав мне мало известен, так что их оценивать я не берусь. 

Пугает ли этот фильм? Лично меня нисколько не напугал. Несмотря на то, что «Синистер» является скримером, этих самых пугающих моментов набралось менее десятка. Скорее всего Скотт Дерриксон пытался испугать зрителей гнетущей атмосферой и саспенсом, но лично на меня это не произвело впечатления. В подобном жанре очень хорошо выступил фильм Джеймса Вана «Заклятие», но Дерриксон немного не докрутил нужные гайки. 

Несмотря на все свои недостатки, «Синистер» многим понравился. И даже обзавелся сиквелом. Однако лично мне фильм не зашел. Я хоть и являюсь большим поклонником скримеров, да и хорроров в целом, но «Синистер» не произвел на меня абсолютно никакого впечатления. Весь фильм проходит в ожидании, вот только ожидания эти не оправдываются.

4 из 10","-"
"Вой 2: Стирба – Сука-оборотень","Оборотни вернулись! Не прошло и сорока дней с похорон, как обстановка в Лос-Анджелесе вновь накаляется. Случайных рокеров едят без гарнира, а брат покойной телеведущей отказывается верить в происходящее. Благо из недр векового мистицизма материализовался сэр Кристофер Ли, и доходчиво объяснил всем скептикам что зло оно реально, и надо бы в оперативном порядке умножить всех оборотней на ноль, а то не миновать на Американском континенте волчьего апокалипсиса. Только вначале надо двинуть в Трансильванию, ибо локации и снимать экономичнее.

Шайка в которой профессор-охотник, подруга героини из первой части, и ее брат шериф устраивают разгон нечисти в румынских васюках. На это однозначно прикольно смотреть ибо архитектура и пейзажи делают львиную долю работы по части антуража, просто находясь в кадре, плюс местечковый колорит. Другой весомый аргумент это декорации. Из уютного пансионата для отдыхающих волков первого фильма мы попадаем в колдовской будуар матери Стрибы, где процветает разврат и волчьи утехи. Масса обнаженного тела в кадре и гротеск эротического характера гарантируют это.

Экшн льется под забойный old school gothic sound, восьмидесятые же, волки на этот раз модифицированы в стойкости и куда более артистичны, за исключением того что местами отдает привкусом комедии. Даже серьезность лица сэра Кристофера Ли не спасает, да и Румыния, что так часто мелькает в ужасах вызывает разные ассоциации, порой казалось что вот-вот, и из-за угла выпрыгнет Раду Владислас, или любой другой монстр из паноптикума Чарли Бэнда, но нет, это все ещё сиквел первого Воя. Он динамичнее чем предшественник, но бюджетные ухищрения ощутимы, однако выезжают за счёт антуража да эротической подачи. Можно сказать, что эротикой задрапировали где можно и где нельзя, и это закономерно вытеснило оборотней. Серьезно, в какой-то момент я даже забыл, что фильм-то - продолжение первого Воя, и ощущения были, будто смотрю фильм про мессу сатанистов в проклятом замке. И это тем не менее пошло в плюс, ибо антураж более чем достойный, ну а оборотни предстали в неожиданном свете лёгкой эротики.","-"
